m,k,p,80_sin_filtro,80_con_filtro,60_sin_filtro,60_con_filtro,40_sin_filtro,40_con_filtro,20_sin_filtro,20_con_filtro
450000,2,0.11639458634304584,16.061131477355957,11.766632795333862,18.283930778503418,9.067712783813477,21.03434419631958,7.110435485839844,22.981470584869385,5.043596267700195
450000,3,0.10069671903984892,15.20759630203247,10.553939580917358,17.89750838279724,8.852877140045166,19.957701683044434,6.863585472106934,22.15150499343872,4.286118507385254
450000,4,0.10258331825983302,15.73423957824707,11.15356731414795,17.9139084815979,8.613584280014038,20.49630093574524,6.500149488449097,22.624735593795776,4.368894100189209
450000,5,0.11397178134914208,15.67680311203003,11.086459398269653,18.231260776519775,9.420002698898315,20.27361559867859,6.228110074996948,22.22092604637146,4.6316819190979
450000,6,0.1325204991484504,15.477174520492554,11.253576517105103,17.814881086349487,9.129700183868408,21.590303897857666,5.851878643035889,23.18307089805603,3.986774206161499
450000,7,0.15741592812709246,15.010715246200562,10.72119426727295,18.045372009277344,9.346619367599487,21.1408212184906,5.522034645080566,23.025574207305908,3.9025180339813232
540000,2,0.08626874883728622,15.52496600151062,10.884995222091675,18.244627714157104,9.50856328010559,21.300598621368408,7.131401062011719,24.55750322341919,5.043596267700195
540000,3,0.06713787638638914,15.514357089996338,10.688288927078247,18.683038234710693,9.71021819114685,20.782613277435303,6.4701173305511475,23.88914442062378,4.286118507385254
540000,4,0.06308307593394064,16.036927223205566,10.954394340515137,19.103270292282104,9.598620414733887,21.203654289245605,6.318731784820557,24.081315517425537,4.420165300369263
540000,5,0.06607419170574509,15.57801604270935,10.624283075332642,18.39424777030945,9.266758680343628,21.592247486114502,6.274433612823486,23.623372077941895,4.612994194030762
540000,6,0.07381707010364122,15.5564706325531,10.865050077438354,18.154406309127808,9.167694568634033,21.349650621414185,6.127892255783081,23.526028156280518,4.624939680099487
540000,7,0.08562574443916886,18.576457500457764,10.625147581100464,18.272011280059814,9.135510206222534,21.368321895599365,6.086187124252319,23.417804956436157,4.54937744140625
630000,2,0.066431677065719,16.010935068130493,11.03748631477356,17.821890592575073,9.033614158630371,21.18757987022399,6.059985637664795,24.09592914581299,4.454889535903931
630000,3,0.04685611018729747,15.804192304611206,10.604944229125977,17.689990520477295,9.030432224273682,21.536094427108765,6.0849268436431885,23.861873388290405,4.611506581783295
