m,k,p,80_Sin_filtro,80_Con_filtro,80_Negativos_real,80_Negativos_filtro,60_Sin_filtro,60_Con_filtro,60_Negativos_real,60_Negativos_filtro,40_Sin_filtro,40_Con_filtro,40_Negativos_real,40_Negativos_filtro,20_Sin_filtro,20_Con_filtro,20_Negativos_real,20_Negativos_filtro
450000,2,0.11639458634304584,73.72488594055176,53.06930208206177,1000,843,86.89769554138184,43.99138069152832,2000,1687,97.73270535469055,33.80198097229004,3000,2559,110.09072399139404,25.024066925048828,4000,3384
450000,3,0.10069671903984892,75.40410208702087,52.720016956329346,1000,868,83.2763512134552,43.42688846588135,2000,1706,96.46907639503479,32.3056218624115,3000,2618,107.85862350463867,22.78009343147278,4000,3479
450000,4,0.10258331825983302,74.22853708267212,53.138928174972534,1000,858,85.97014880180359,42.41157793998718,2000,1731,96.4670820236206,31.94658851623535,3000,2617,107.78581929206848,23.368520498275757,4000,3440
450000,5,0.11397178134914208,72.77046704292297,51.87629985809326,1000,872,83.94057321548462,42.356725215911865,2000,1704,99.26363635063171,33.94920039176941,3000,2579,110.62821960449219,24.214256525039673,4000,3436
450000,6,0.1325204991484504,72.3854398727417,51.96613001823425,1000,823,83.53483414649963,43.47575879096985,2000,1646,98.15353202819824,36.077552318573,3000,2483,109.65880703926086,26.377479791641235,4000,3330
450000,7,0.15741592812709246,74.15788745880127,53.83110523223877,1000,814,85.58016204833984,44.95081686973572,2000,1622,97.39061236381531,37.31124424934387,3000,2424,109.88041377067566,28.255454540252686,4000,3258
540000,2,0.08626874883728622,72.84825730323792,50.482001304626465,1000,896,87.15895462036133,42.63302683830261,2000,1759,97.14626574516296,31.991467237472534,3000,2638,111.23962044715881,21.715977430343628,4000,3533
540000,3,0.06713787638638914,72.9150242805481,50.40336775779724,1000,906,84.27085208892822,40.58446788787842,2000,1767,96.81219005584717,30.61312246322632,3000,2690,108.5797004699707,19.628517866134644,4000,3594
540000,4,0.06308307593394064,73.36584424972534,50.7553288936615,1000,903,85.24904680252075,40.84282827377319,2000,1813,96.28057885169983,29.85118818283081,3000,2700,108.73925876617432,20.050694465637207,4000,3576
540000,5,0.07224092673019527,74.00488805770874,51.84524869918823,1000,882,85.74085235595703,41.971683979034424,2000,1751,97.26982164382935,30.626346826553345,3000,2664,110.30243492126465,20.82627272605896,4000,3548
540000,6,0.0868470440165313,72.8681628704071,51.454238414764404,1000,838,85.79115867614746,43.419010400772095,2000,1699,98.05104780197144,33.620394468307495,3000,2566,108.35971689224243,24.668201446533203,4000,3454
540000,7,0.10390011610906925,73.2151460647583,52.56765627861023,1000,839,85.90889382362366,44.22672724723816,2000,1663,97.92416000366211,34.686779260635376,3000,2527,109.4573106765747,27.222371339797974,4000,3364
630000,2,0.0653669350536102,73.32207894325256,49.57922410964966,1000,908,88.39489340782166,41.55052447319031,2000,1855,98.81198406219482,30.892682790756226,3000,2782,113.42698860168457,19.614736080169678,4000,3689
630000,3,0.04934732255360217,74.42322039604187,48.96848273277283,1000,926,85.82894134521484,39.51246762275696,2000,1909,96.6884138584137,28.745891213417053,3000,2841,110.44706702232361,17.941864013671875,4000,
630000,4,0.04729728872372279,75.07299876213074,49.465920209884644,1000,924,86.7696521282196,39.4457426071167,2000,1912,96.75670766830444,28.881505012512207,3000,2849,109.94071292877197,17.58658790588379,4000,
630000,5,0.05487050754012688,74.72069025039673,49.41372895240784,1000,918,87.40633296966553,39.74515736198425,2000,1901,97.20487928390503,28.94157600402832,3000,2815,111.06786727905273,17.66207981109619,4000,
630000,6,0.06598998373888639,74.5339138507843,49.50703310966492,1000,900,87.17618942260742,40.719449043273926,2000,1841,97.04486989974976,29.941699981689453,3000,2733,111.8403434753418,18.78962254524231,4000,
630000,7,0.07957374415267404,74.90288090705872,50.254103899002075,1000,887,88.73693370819092,41.93354558944702,2000,1793,97.23383522033691,31.070571184158325,3000,2660,111.9619722366333,20.050184726715088,4000,
720000,2,0.05753091312605183,75.3369209766388,49.12782049179077,1000,932,89.95729684829712,40.78740406036377,2000,1943,98.46471500396729,29.365097045898438,3000,2863,115.2657413482666,18.230570793151855,4000,
720000,3,0.043590671780116134,75.5957602262497,48.84637093544006,1000,948,87.1469316482544,38.70819139480591,2000,1999,97.3322868347168,27.780356884002686,3000,2931,111.19340896606445,16.886983394622803,4000,
720000,4,0.04017445537919514,76.23254656791687,48.94493055343628,1000,941,88.50740480422974,38.94972801208496,2000,1973,97.72617530822754,27.582356691360474,3000,2920,112.19682693481445,17.24149179458618,4000,
